Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.1511,Fri Nov 03 09:37:08 +0000 2017,0.0,0.923,0.077,"RT @bbcpress: We'll tell you what we want, what we really, really want... @GeriHalliwell on Saturday night TV! https://t.co/4G7WzQgSls http…",93,@BBC
0.7906,Fri Nov 03 09:36:17 +0000 2017,0.0,0.632,0.368,RT @BBCRadio2: Thanks @liamgallagher for an awesome In Concert Performance. As You Were. https://t.co/RIbPXt0SHT,94,@BBC
-0.8126,Fri Nov 03 09:35:04 +0000 2017,0.27,0.73,0.0,"RT @BBCR1: ""I hate saying the word 'dumped'... I got... 'let go'""

Totally using 'let go' to describe all our heartbreak now @SamSmithWorld…",95,@BBC
-0.3595,Fri Nov 03 09:34:25 +0000 2017,0.102,0.898,0.0,"RT @BBCRadio2: No need for scissors! ✂️ As you were...
@liamgallagher's full gig is now available to watch on the Red Button...
#R2InConcer…",96,@BBC
0.0,Fri Nov 03 09:34:04 +0000 2017,0.0,1.0,0.0,"RT @bbcmusic: ⚡️ #HarryStylesAtTheBBC was everything we dreamed of and more 💕”

https://t.co/3GiJNH6ldv",97,@BBC
0.0,Fri Nov 03 09:30:10 +0000 2017,0.0,1.0,0.0,💦🦈 Sir David Attenborough is back on Sunday night bringing us more #BluePlanet2 action. Check out what's in store.… https://t.co/fgC3IFbybm,98,@BBC
-0.5848,Fri Nov 03 08:59:03 +0000 2017,0.159,0.841,0.0,The village that shall not be named! Saying the name of this hilltop town in Italy brings you bad luck.… https://t.co/2oelVteA2q,99,@BBC
0.4199,Sun Nov 05 13:58:35 +0000 2017,0.0,0.872,0.128,Get ready for football! Stream NFL on CBS today w/ #CBSAllAccess (not available on mobile phones). Try 1 week FREE:… https://t.co/BJOWnqgBgc,0,@CBS
0.0,Sat Nov 04 20:00:02 +0000 2017,0.0,1.0,0.0,Stream the LSU Tigers at Alabama Crimson Tide LIVE tonight at 8PM ET! Try #CBSAllAccess FREE:… https://t.co/L2k6pXwRIp,1,@CBS
0.0,Sat Nov 04 13:54:31 +0000 2017,0.0,1.0,0.0,Stream the South Carolina Gamecocks at Georgia Bulldogs LIVE today at 3:30PM ET! Try #CBSAllAccess FREE:… https://t.co/f3nZLlh7Vv,2,@CBS
0.6166,Fri Nov 03 00:45:05 +0000 2017,0.0,0.776,0.224,Stream the season premiere of #LifeInPieces tonight at 9:30/8:30c with a FREE trial of #CBSAllAccess:… https://t.co/FMHinKs6si,3,@CBS
0.0,Thu Nov 02 23:02:32 +0000 2017,0.0,1.0,0.0,RT @swatcbs: .@ShemarMoore takes command tonight on the series premiere of #SWAT at 10/9c on @CBS &amp; CBS All Access: https://t.co/ANyt4qF6iF…,4,@CBS
0.6514,Thu Nov 02 19:38:35 +0000 2017,0.0,0.797,0.203,It's almost time! Stream the series premiere of #SWAT tonight at 10/9c with a FREE trial of #CBSAllAccess:… https://t.co/lpPKp9ayTJ,5,@CBS
0.6369,Thu Nov 02 17:38:03 +0000 2017,0.0,0.819,0.181,RT @CBSThisMorning: Listen to @IainLoveTheatre chat w/ @Mistahwax about making @YoungSheldonCBS his own + his love for Broadway &amp; magic: ht…,6,@CBS
0.6514,Thu Nov 02 16:47:35 +0000 2017,0.0,0.806,0.194,The ladies are back! Stream the season premiere of #Mom tonight at 9/8c with a FREE trial of #CBSAllAccess:… https://t.co/y4vL5wMSEM,7,@CBS
0.0,Thu Nov 02 10:09:01 +0000 2017,0.0,1.0,0.0,"Buffalo viewers: Due to NFL, stream the CBS lineup on-demand at https://t.co/bbQB95EVxJ tonight. For more:… https://t.co/u9U9P7Ggqq",8,@CBS
